"Date","Standardized_score","Prices","Policy","Finance","Growth","Global","Other"
"2000/07/06",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2000/07/20",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2000/08/03",-0.504584065301475,0,-0.504584065301475,0,0,0,0
"2000/08/31",1.95934260182986,0.452155985037659,0.289843580152346,0.452155985037659,0.614468389922972,-0.15071866167922,0
"2000/09/14",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2000/10/05",2.33840824292698,0,1.55893882861799,0,0,0,0
"2000/10/19",-0.662528082425278,0,-0.662528082425278,0,0,0,0
"2000/11/02",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2000/11/16",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2000/11/30",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2000/12/14",-1.98925782626523,0,-1.98925782626523,0,0,0,0
"2001/01/04",-0.504584065301475,0,-0.504584065301475,0,0,0,0
"2001/01/18",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/02/01",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/02/15",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/03/01",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/03/15",-0.504584065301475,0,-0.504584065301475,0,0,0,0
"2001/03/29",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/04/11",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/04/26",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/05/10",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"2001/05/23",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/06/07",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/06/21",-0.662528082425278,0,-0.662528082425278,0,0,0,0
"2001/07/05",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/07/19",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/08/02",-0.504584065301475,0,-0.504584065301475,0,0,0,0
"2001/08/30",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"2001/09/13",1.07485610593656,0,0.537428052968279,0,0,0.537428052968279,0
"2001/09/17",-0.346640048177671,0,-0.148560020647573,-0.099040013765049,-0.0495200068825245,-0.0495200068825245,0
"2001/09/27",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2001/10/11",-0.662528082425278,0,-0.662528082425278,0,0,0,0
"2001/10/25",-0.504584065301475,0,-0.504584065301475,0,0,0,0
"2001/11/08",-1.10477133037193,0,-1.10477133037193,0,0,0,0
"2001/12/06",-1.98925782626523,0,-1.98925782626523,0,0,0,0
"2002/01/03",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2002/02/07",-0.662528082425278,0,-0.662528082425278,0,0,0,0
"2002/03/07",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2002/04/04",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2002/05/02",-0.915238509823363,0,-0.915238509823363,0,0,0,0
"2002/06/06",-0.915238509823363,0,-0.915238509823363,0,0,0,0
