"Date","Standardized_score","Policy","Growth","Prices","Global","Other","Finance"
"2002/06/26",0.542055870829226,0.135513967707306,0.271027935414613,0,0,0,0
"2002/08/13",-0.693414342900928,0.00924552457201238,-0.471521753172631,0,0,0,0
"2002/09/24",-0.369838810733507,0.00493118414311343,-0.128210787720949,0,0,0,0
"2002/11/06",-1.31114944976601,-0.655574724883003,0,0,0,-0.655574724883003,0
"2002/12/10",-1.25231753482647,-0.626158767413237,-0.626158767413237,0,0,0,0
"2003/01/29",-0.987573917598584,-0.987573917598584,0.987573917598584,0,0,-0.987573917598584,0
"2003/03/18",0.130232466252508,0,0.130232466252508,0,0,0,0
"2003/05/06",-0.399254768203273,0.00302465733487328,-0.136109580069297,-0.0665424613672121,0,-0.133084922734424,0
"2003/06/25",-0.428670725673038,-0.0857341451346077,0,-0.171468290269215,0,0,-0.0857341451346077
"2003/08/12",-0.0168473210963203,-0.00336946421926405,0,-0.00673892843852811,0,0,0
"2003/09/16",-0.311006895793976,-0.0518344826323293,-0.0518344826323293,-0.103668965264659,0,0,0
"2003/10/28",0.218480338661804,0.0364133897769674,0.0364133897769674,0.0728267795539348,0,0,0
"2003/12/09",-0.28159093832421,-0.0469318230540351,-0.0469318230540351,-0.0938636461080701,0,0,0
"2004/01/28",-0.663998385431163,-0.0948569122044518,-0.189713824408904,-0.189713824408904,0,0,0
"2004/03/16",-0.487502640612569,-0.0812504401020949,-0.0812504401020949,-0.16250088020419,0,0,0
"2004/05/04",0.277312253601335,0.0554624507202671,0.0554624507202671,0.110924901440534,0,0,0
"2004/06/30",0.483223955889694,0.0966447911779389,0.0966447911779389,0.193289582355878,0,0,0
"2004/08/10",-0.163927108445148,-0.027321184740858,-0.027321184740858,-0.0819635542225741,0,0,0
"2004/09/21",-0.369838810733507,-0.0739677621467014,-0.0739677621467014,-0.0739677621467014,0,0,0
"2004/11/10",0.0714005513129764,0.0178501378282441,0.0178501378282441,0.0178501378282441,0,0,0
"2004/12/14",-0.369838810733507,-0.0924597026833768,-0.0924597026833768,-0.0924597026833768,0,0,0
"2005/02/02",0.0125686363734453,0.00314215909336132,0.00314215909336132,0.00314215909336132,0,0,0
"2005/03/22",1.51278246733149,0.302556493466298,0.201704328977532,0.705965151421362,0,0,0
"2005/05/03",1.21862289263383,0.243724578526767,0.232646188593732,0.254802968459802,0,0,0
"2005/06/30",2.0128537443175,0.503213436079376,0.251606718039688,0.754820154119064,0,0,0
"2005/08/09",0.77738353058735,0.194345882646838,0.0647819608822792,0.129563921764558,0,0,0
"2005/09/20",0.747967573117584,0,0.217662521277604,0.320557531336108,0,-0.00395750038686553,0
"2005/11/01",0.0419845938432109,0,0.0077971388565963,0.0173936174493302,0,0,0
"2005/12/13",1.01271119034547,0,0.126588898793184,0.632944493965922,0,0.253177797586369,0
"2006/01/31",0.424392040950163,0,0.106098010237541,0.212196020475082,0,0.106098010237541,0
"2006/03/28",-0.28159093832421,0,-0.0563181876648421,-0.112636375329684,0,-0.0563181876648421,0
"2006/05/10",0.983295232875709,0.00634384021210135,0.196659046575142,0.589977139725426,0,-0.00634384021210135,0
"2006/06/29",1.01271119034547,0.0076720544723142,-0.015823612349148,0.522179207521886,0,-0.0076720544723142,0
"2006/08/08",-0.369838810733507,-0.00425102081302882,0,-0.246559207155671,0,0.00425102081302882,0
"2006/09/20",-0.222759023384679,0,0,-0.222759023384679,0,0,0
"2006/10/25",-0.487502640612569,0,-0.16250088020419,-0.32500176040838,0,0,0
"2006/12/12",-0.458086683142804,0,-0.152695561047601,-0.305391122095203,0,0,0
"2007/01/31",0.0125686363734453,0,0.0041895454578151,0.0083790909156302,0,0,0
"2007/03/21",1.57161438227102,0,0,0.523871460757007,0,0.523871460757007,0
"2007/05/09",1.65986225468032,0,0.414965563670079,0.414965563670079,0,0.414965563670079,0
"2007/06/28",-1.19348561988694,0,-0.397828539962314,-0.397828539962314,0,-0.397828539962314,0
