"Date","Standardized_score","Prices","Policy","Finance","None","Growth","Global","Other"
"2000-08-31",2.08433343579879,0.414194464806169,0.481000023645874,0.734861147236752,0,0.467638911877933,-0.0534444470717638,0.0400833353038228
"2000-09-14",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2000-10-05",1.83219129345044,0,1.52682607787536,0.305365215575073,0,0,0,0
"2000-10-19",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2000-11-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2000-11-16",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2000-11-30",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-01-04",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2001-02-01",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-02-15",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-02-18",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-03-01",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-03-29",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-04-11",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-04-26",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-05-10",-1.05168445965883,0,-0.876403716382358,-0.175280743276472,0,0,0,0
"2001-05-23",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-06-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-06-21",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2001-07-05",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-07-19",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-08-02",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2001-08-30",-1.05168445965883,0,-0.876403716382358,-0.175280743276472,0,0,0,0
"2001-09-13",0.16174960039261,0,0.0606561001472287,0.0202187000490762,0,0,0.0808748001963049,0
"2001-09-17",-0.783783433413707,-0.0290290160523595,-0.246746636445056,-0.145145080261798,-0.174174096314157,-0.0725725401308988,-0.0435435240785393,-0.0725725401308988
"2001-09-27",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2001-10-11",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2001-10-25",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2001-11-08",-1.05168445965883,0,-0.876403716382358,-0.175280743276472,0,0,0,0
"2001-12-06",-2.15480633243287,0,-1.61610474932465,-0.538701583108217,0,0,0,0
"2002-01-03",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-02-07",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2002-03-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-04-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-05-02",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-06-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-07-04",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2002-08-01",-0.846818969000795,0,-0.635114226750596,-0.211704742250199,0,0,0,0
"2002-09-12",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-10-10",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-11-07",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2002-12-05",-1.11471999524592,0,-0.928933329371598,-0.18578666587432,0,0,0,0
"2003-01-09",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-02-06",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-03-06",-1.11471999524592,0,-0.928933329371598,-0.18578666587432,0,0,0,0
"2003-04-03",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
"2003-05-08",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-06-05",-1.11471999524592,0,-0.928933329371598,-0.18578666587432,0,0,0,0
"2003-07-10",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-07-31",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-09-04",-1.20927329862655,0,-0.906954973969912,-0.302318324656637,0,0,0,0
"2003-10-02",-0.988648924071743,0,-0.741486693053807,-0.247162231017936,0,0,0,0
