"Date","Standardized_score","None","Policy","Growth","Global","Prices","Other","Finance"
"2003-08-12",-0.358503957884992,0,-0.0179251978942496,-0.125476385259747,0,-0.143401583153997,-0.0717007915769984,0
"2003-09-16",-0.635243855199723,0,-0.0264684939666551,-0.291153433633206,0,-0.211747951733241,-0.10587397586662,0
"2003-10-28",0.00471715734059201,0,0.000196548222524667,0.00216203044777134,0,0.00157238578019734,0.000786192890098669,0
"2003-12-09",-0.30661522713848,0,-0.0127756344641033,-0.166083248033343,0,-0.127756344641033,0,0
"2004-01-28",-0.756317560274918,0,-0.0270113414383899,-0.459192804452629,0,-0.270113414383899,0,0
"2004-03-16",-1.17142740624701,-0.167346772321002,-0.0418366930802505,-0.543877010043257,0,-0.418366930802505,0,0
"2004-05-04",0.00471715734059201,0,0.000235857867029601,0.00306615227138481,0,0.0014151472021776,0,0
"2004-06-30",0.281457054655323,0.0804163013300922,0.0100520376662615,0.0904683389963538,0,0.100520376662615,0,0
"2004-08-10",0.0220134009227627,0.00733780030758756,0.00061148335896563,0.00550335023069067,0,0.00856076702551882,0,0
"2004-09-21",-0.289318983556309,-0.0826625667303741,-0.0103328208412968,-0.134326670936858,0,-0.0619969250477806,0,0
"2004-11-10",0.194975836744469,0.0649919455814898,0.00812399319768623,0.073115938779176,0,0.0487439591861174,0,0
"2004-12-14",0.108494618833616,0.0361648729445387,0.00452060911806734,0.040685482062606,0,0.027123654708404,0,0
"2005-02-02",0.143087105997957,0.0476957019993191,0.00596196274991489,0.053657664749234,0,0.0357717764994893,0,0
"2005-03-22",1.19815796451037,0.342330847002962,0.0998464970425307,0.332142428937398,0,0.423838191527477,0,0
"2005-05-03",0.385234516148347,0.110067004613813,0.0321028763456956,0.142169880959509,0,0.100894754229329,0,0
"2005-06-30",0.869529336449126,0.289843112149709,0.0845375743769983,0.30191990848928,0,0.193228741433139,0,0
"2005-08-09",0.765751874956102,0.255250624985367,0.0744480989540654,0.247653880194136,0,0.188399270822533,0,0
"2005-09-20",0.783048118538272,0.174010693008505,0.0290017821680842,0.272616752379991,0,0.263916217729566,0.0435026732521262,0
"2005-11-01",0.385234516148347,0.110067004613813,0.0321028763456956,0.0871363786526023,0,0.155928256536236,0,0
"2005-12-13",0.852233092866955,0.284077697622318,0,0.284077697622318,0,0.426116546433478,-0.142038848811159,0
"2006-01-31",0.852233092866955,0.284077697622318,0,0.284077697622318,0,0.426116546433478,-0.142038848811159,0
"2006-03-28",-0.0125790862415787,-0.00359402464045105,0,-0.00599004106741842,0,-0.00479203285393473,0.00179701232022552,0
"2006-05-10",0.506308221223542,0.144659491778155,0.0180824364722693,0.150686970602245,0,0.174796885898604,0.0180824364722693,0
"2006-06-29",0.679270657045248,0.226423552348416,0.028302944043552,0.084908832130656,0,0.311332384479072,0.028302944043552,0
"2006-08-08",0.143087105997957,0.0357717764994893,0.0178858882497447,0.0178858882497447,0,0.0626006088741063,0.00894294412487234,0
"2006-09-20",-0.773613803857088,-0.257871267952363,-0.0515742535904726,-0.0515742535904726,0,-0.41259402872378,0,0
"2006-10-25",-0.981168726843136,-0.392467490737255,-0.0392467490737255,-0.137363621758039,0,-0.313973992589804,-0.0981168726843136,0
"2006-12-12",-0.963872483260966,-0.385548993304386,-0.0385548993304386,-0.134942147656535,0,-0.308439194643509,-0.0963872483260966,0
"2007-01-31",-0.341207714302821,-0.0853019285757054,0,-0.0426509642878527,0,-0.170603857151411,-0.0426509642878527,0
"2007-03-21",1.23275045167471,0.308187612918678,0,0,0,0.693422129067024,0.231140709689008,0
"2007-05-09",1.00789928510649,0.201579857021298,0,0.100789928510649,0,0.453554678297921,0.251974821276623,0
"2007-06-28",0.056605888087104,0.0226423552348416,0,0.0056605888087104,0,0.014151472021776,0.014151472021776,0
"2007-08-07",-0.462281419378016,-0.0770469032296694,0,0.115570354844504,-0.0385234516148347,-0.154093806459339,-0.269664161303843,-0.0385234516148347
"2007-09-18",-0.929279996096624,-0.185855999219325,0,-0.232319999024156,-0.0929279996096624,-0.232319999024156,0.0154879999349437,-0.201343999154269
"2007-10-31",-0.514170150124528,-0.102834030024906,-0.0342780100083019,-0.0856950250207547,-0.0514170150124528,-0.154251045037358,-0.0114260033361006,-0.0742690216846541
"2007-12-11",-0.669836342364064,-0.191381812104018,-0.0318969686840031,-0.153105449683215,-0.0478454530260046,-0.133967268472813,-0.0127587874736012,-0.0988806029204095
"2008-01-30",-1.74220344445865,-0.348440688891729,-0.209064413335038,-0.278752551113383,-0.174220344445865,-0.348440688891729,0.0232293792594486,-0.406514137040351
"2008-03-18",-2.5378306492385,-0.725094471210999,-0.10876417068165,-0.688839747650449,-0.18127361780275,-0.833858641892649,0.338377419898466,-0.338377419898466
"2008-04-30",-1.79409217520516,-0.398687150045591,-0.598030725068386,-0.0498358937556988,0,-0.498358937556988,-0.348851256289892,0.0996717875113977
"2008-06-25",0.350642028984005,0.0876605072460014,0.0219151268115003,0,0,0.270286564008504,-0.0292201690820005,0
"2008-08-05",1.25004669525688,0.15625583690711,0.15625583690711,0.234383755360665,0.0390639592267775,0.429703551494553,0.0390639592267775,0.195319796133888
"2008-09-16",-1.05035370117182,0,-0.150050528738831,-0.262588425292955,-0.0375126321847078,-0.375126321847078,-0.0375126321847078,-0.187563160923539
"2008-10-29",-2.76268181580672,-0.690670453951679,-0.239078234060197,-1.40790515613227,0,-0.17266761348792,0,-0.252360358174652
"2008-12-16",-1.08494618833616,-0.180824364722693,0,-0.40039680760025,-0.169865312315257,-0.0904121823613467,-0.0164385786111539,-0.227008942725459
"2009-01-28",-0.289318983556309,-0.0482198305927182,-0.0107155179094929,-0.109717585551547,-0.0191306936590676,-0.04391032882477,-0.00329036283633887,-0.0543346641823745
"2009-03-18",-2.48594191849199,0,-0.155371369905749,-0.504956952193685,-0.466114109717247,-0.466114109717247,-0.194214212382186,-0.699171164575871
"2009-04-29",-1.37898232923306,-0.153220258803674,-0.357513937208572,-0.331977227407959,-0.0306440517607347,-0.331977227407959,-0.0817174713619592,-0.0919321552822041
"2009-06-24",0.281457054655323,0,0.00781825151820341,0.0807885990214352,0.00625460121456273,0.101637269736644,0.0166789365721673,0.0682793965923098
"2009-08-12",-0.289318983556309,0,-0.00803663843211971,-0.0562564690248379,-0.00642931074569576,-0.104476299617556,-0.0144659491778155,-0.0996543165582844
"2009-09-23",-1.05035370117182,0,0.0477433500532645,-0.311012327485136,-0.0552817737458852,-0.36074498379062,-0.101349918534123,-0.269708047669319
"2009-11-04",-0.929279996096624,-0.0844799996451477,-0.0241371427557565,-0.381668569825399,-0.0168959999290295,-0.164434285023591,-0.0802559996628903,-0.17740799925481
"2009-12-16",-1.51735227789043,-0.151735227789043,-0.0433529222254408,-0.700691605468687,-0.0303470455578085,-0.295341782660815,-0.0606940911156171,-0.235189603073016
"2010-01-27",-1.94975836744469,-0.149981412880361,-0.0428518322515317,-0.761334219668881,-0.198725372066478,-0.310675783823605,-0.0599925651521444,-0.426197181601693
"2010-03-16",-1.27520486774004,0,-0.0331222043568841,-0.441629391425121,-0.061828114799517,-0.24013598158741,-0.235719687673159,-0.262769487897947
"2010-04-28",-1.39627857281523,0,-0.0997341837725166,-0.568182622704034,-0.0423114719034919,-0.262935575400271,-0.222135227493332,-0.200979491541586
"2010-06-23",-1.93246212386252,0,-0.126530258110046,-0.720839046202687,0,-0.494618281702908,-0.295237268923441,-0.295237268923441
"2010-08-10",-1.75949968804082,-0.319909034189239,-0.0457012905984628,-0.621468307759399,0,-0.34587567657473,-0.213272689459493,-0.213272689459493
"2010-09-21",-1.84598090595167,-0.167816445995606,-0.0479475559987447,-0.793132488812568,0,-0.389573892489801,-0.223755261327475,-0.223755261327475
"2010-11-03",-0.894687508932283,0,-0.0196634617347755,-0.296590547832863,0,-0.406378209185359,-0.022940705357238,-0.149114584822047
"2010-12-14",-0.704428829528406,-0.0541868330406466,-0.0154819522973276,-0.260612863671681,0,-0.265773514437457,-0.0451556942005388,-0.0632179718807543
"2011-01-26",-0.8255025346036,0,-0.02358578670296,-0.286960404886013,0,-0.322339084940453,-0.10318781682545,-0.0894294412487234
"2011-03-15",0.367938272566176,0,0.00876043506109943,0.137246815957224,0,0.181048991262722,0.015330761356924,0.0255512689282067
"2011-04-27",1.66515654122898,0,0.118939752944927,0.338520835304792,0.0320222411774803,0.905771964734443,0.0320222411774803,0.237879505889854
"2011-06-22",-0.427688932213675,0,-0.0305492094438339,-0.114559535414377,-0.00763730236095848,-0.206207163745879,-0.00763730236095848,-0.0610984188876678
"2011-08-09",-0.444985175795846,-0.0404531977996223,-0.0202265988998112,-0.171926090648395,-0.00449479975551359,-0.197771189242598,-0.0101132994499056,0
"2011-09-21",-0.894687508932283,-0.0526286769960167,-0.0526286769960167,-0.385943631304122,0,-0.25437193881408,-0.0263143384980083,-0.122800246324039
"2011-11-02",-0.531466393706699,-0.0379618852647642,-0.0189809426323821,-0.253079235098428,0,-0.1771554645689,-0.0126539617549214,-0.0316349043873035
"2011-12-13",-1.08494618833616,-0.0904121823613467,-0.0452060911806733,-0.421923517686285,-0.0904121823613467,-0.331511335324938,-0.0301373941204489,-0.0753434853011222
"2012-01-25",-1.55194476505477,-0.119380366542675,-0.0994836387855621,-0.646643652106154,-0.119380366542675,-0.437728010656473,-0.0298450916356686,-0.0994836387855621
"2012-03-13",-0.237430252809797,-0.0316573670413063,-0.0131905696005443,-0.0896958732837013,0,-0.0738671897630481,-0.0158286835206532,-0.0131905696005443
"2012-04-25",-0.0125790862415787,-0.00157238578019733,-0.000655160741748889,-0.00524128593399111,0,-0.00366890015379378,-0.000786192890098667,-0.000655160741748889
"2012-06-20",-1.18872364982918,-0.148590456228648,-0.099060304152432,-0.445771368685944,0,-0.272415836419188,-0.074295228114324,-0.148590456228648
"2012-08-01",-1.1195386755005,-0.0746359117000335,-0.0621965930833612,-0.603306952908604,0,-0.267445350258453,-0.0746359117000335,-0.0373179558500167
"2012-09-13",-0.635243855199723,-0.0794054818999654,-0.0330856174583189,-0.264684939666551,0,-0.165428087291595,-0.0397027409499827,-0.0529369879333103
"2012-10-24",0.558196951970054,0,0.134380747696494,0.29386559111651,0,0.0546383259864867,0.0132904036183346,0.0620218835522282
"2012-12-12",-0.704428829528406,-0.0414369899722591,-0.0448900724699474,-0.245168857335867,0,-0.296965094801191,-0.0207184949861296,-0.0552493199630122
"2013-01-30",-0.0644678169880907,0,-0.00436500844190197,-0.0221608120896562,0,-0.0325696783741917,0.000671539760292611,-0.0060438578426335
"2013-03-20",0.783048118538272,0,0.0563557358038908,0.450422159094255,0,0.224999215878692,-0.0466100070558495,0.0978810148172841
"2013-05-01",0.0911983752514454,0,0.00548879110309625,0.0384215377216737,0,0.0384215377216737,-0.00126664410071452,0.0101331528057162
"2013-06-19",0.108494618833616,0,0.00652976872609726,0.0457083810826808,0,0.0457083810826808,-0.00150686970602245,0.0120549576481796
"2013-07-31",0.0911983752514454,0,0.00688458322976597,0.0425592417840078,0,0.0353170178669813,-0.00429168824712684,0.0107292206178171
"2013-09-18",0.246864567490981,0.0137146981939434,0.0141718548004082,0.117946404467913,0,0.0971457788737658,-0.0109717585551547,0.0148575897101054
